trade_date,open,high,low,close,vol,turnover_rate,volume_ratio,pe,pb,ps,total_mv,dv_ratio,trade_date,adj_factor,open_hfq,open_qfq,close_hfq,close_qfq,high_hfq,high_qfq,low_hfq,low_qfq,pre_close_hfq,pre_close_qfq,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,cci
2016-01-04,12.0,12.03,11.23,11.33,563497.87,0.4774,0.98,8.1869,1.0317,2.2085,16211730.0655,1.2262,20160104,85.994,1031.928,8.84159,974.31202,8.34793,1034.50782,8.86369,965.71262,8.27425,1031.06806,8.83422,-0.033,0.025,-0.115,16.407,29.03,-8.841,19.113,32.084,41.741,9.297,8.905,8.514,-190.349
2016-01-05,11.27,11.57,11.15,11.4,663269.95,0.5619,1.09,8.2375,1.0381,2.2221,16311890.7985,1.2187,20160105,85.994,969.15238,8.30372,980.3316,8.39951,994.95058,8.52476,958.8331,8.21531,974.31202,8.34793,-0.067,0.007,-0.147,16.05,24.704,-1.257,23.909,34.297,42.696,9.326,8.878,8.429,-191.697
2016-01-06,11.42,11.56,11.39,11.53,515706.44,0.4369,0.9,8.3314,1.0499,2.2475,16497903.5883,1.205,20160106,85.994,982.05148,8.41424,991.51082,8.49529,994.09064,8.51739,979.47166,8.39214,980.3316,8.39951,-0.086,-0.012,-0.148,19.684,23.03,12.99,32.791,38.367,44.459,9.34,8.862,8.384,-136.716
2016-01-07,11.41,11.41,10.91,10.94,174761.1,0.1481,0.32,7.9051,0.9962,2.1325,15653691.6961,1.2699,20160107,85.994,981.19154,8.40687,940.77436,8.06058,981.19154,8.40687,938.19454,8.03848,991.51082,8.49529,-0.134,-0.036,-0.195,13.763,19.941,1.408,20.047,29.362,38.804,9.415,8.823,8.231,-167.68
2016-01-08,11.21,11.29,10.9,11.12,747527.58,0.6333,1.55,8.0352,1.0126,2.1675,15911247.8666,1.2494,20160108,85.994,963.99274,8.25951,956.25328,8.1932,970.87226,8.31846,937.3346,8.03111,940.77436,8.06058,-0.16,-0.061,-0.197,13.876,17.92,5.79,30.006,34.48,41.186,9.445,8.792,8.139,-125.534
2016-01-11,11.0,11.08,10.68,10.76,732013.99,0.6201,1.37,7.775,0.9798,2.0974,15396135.5256,1.2912,20160111,85.994,945.934,8.10479,925.29544,7.92796,952.81352,8.16373,918.41592,7.86901,956.25328,8.1932,-0.199,-0.089,-0.221,11.09,15.643,1.984,23.1,29.774,38.092,9.507,8.753,7.999,-130.657
2016-01-12,10.83,10.91,10.64,10.81,561642.3,0.4758,0.99,7.8112,0.9843,2.1071,15467678.9063,1.2852,20160112,85.994,931.31502,7.97953,929.59514,7.9648,938.19454,8.03848,914.97616,7.83954,925.29544,7.92796,-0.225,-0.116,-0.218,11.197,14.161,5.268,25.941,31.197,38.759,9.531,8.706,7.882,-115.413
2016-01-13,10.89,10.94,10.7,10.71,391709.48,0.3318,0.72,7.7389,0.9752,2.0876,15324592.1449,1.2972,20160113,85.994,936.47466,8.02374,920.99574,7.89112,940.77436,8.06058,920.1358,7.88375,929.59514,7.9648,-0.248,-0.142,-0.212,9.03,12.451,2.19,23.828,29.876,37.907,9.558,8.662,7.765,-102.459
2016-01-14,10.59,10.8,10.48,10.77,666314.54,0.5645,1.28,7.7823,0.9807,2.0993,15410444.2017,1.29,20160114,85.994,910.67646,7.8027,926.15538,7.93532,928.7352,7.95743,901.21712,7.72165,920.99574,7.89112,-0.26,-0.166,-0.189,12.257,12.386,11.998,28.047,31.767,38.75,9.57,8.621,7.672,-102.096
2016-01-15,10.66,10.8,10.42,10.46,448202.14,0.3797,0.72,7.5583,0.9525,2.0389,14966875.2414,1.3282,20160115,85.994,916.69604,7.85428,899.49724,7.70692,928.7352,7.95743,896.05748,7.67744,926.15538,7.93532,-0.285,-0.19,-0.191,9.331,11.368,5.257,20.878,27.576,36.107,9.58,8.561,7.542,-104.195
2016-01-18,10.34,10.56,10.3,10.41,421040.88,0.3567,0.75,7.5221,0.9479,2.0291,14895331.8607,1.3346,20160118,85.994,889.17796,7.6185,895.19754,7.67008,908.09664,7.7806,885.7382,7.58903,899.49724,7.70692,-0.304,-0.213,-0.183,9.13,10.622,6.148,19.894,26.95,35.697,9.561,8.494,7.427,-108.705
2016-01-19,10.45,10.78,10.41,10.71,501109.08,0.4245,1.01,7.7389,0.9752,2.0876,15324592.1449,1.2972,20160119,85.994,898.6373,7.69955,920.99574,7.89112,927.01532,7.94269,895.19754,7.67008,895.19754,7.67008,-0.298,-0.23,-0.136,18.399,13.214,28.769,40.193,36.395,39.963,9.472,8.428,7.384,-72.557
2016-01-20,10.7,10.8,10.44,10.54,603752.5,0.5115,1.24,7.6161,0.9598,2.0545,15081344.6505,1.3181,20160120,85.994,920.1358,7.88375,906.37676,7.76586,928.7352,7.95743,897.77736,7.69218,920.99574,7.89112,-0.3,-0.244,-0.112,20.347,15.592,29.857,34.285,33.701,38.454,9.383,8.358,7.333,-70.574
2016-01-21,10.48,10.75,10.32,10.32,606145.11,0.5135,1.15,7.4571,0.9397,2.0116,14766553.7754,1.3462,20160121,85.994,901.21712,7.72165,887.45808,7.60376,924.4355,7.92059,887.45808,7.60376,906.37676,7.76586,-0.311,-0.257,-0.107,14.419,15.201,12.856,27.914,30.513,36.59,9.278,8.279,7.279,-89.92
2016-01-22,10.4,10.45,10.22,10.4,466752.14,0.3954,0.9,7.5149,0.947,2.0272,14881023.1846,1.3359,20160122,85.994,894.3376,7.66271,894.3376,7.66271,898.6373,7.69955,878.85868,7.53008,887.45808,7.60376,-0.311,-0.268,-0.086,17.946,16.116,21.606,33.321,33.027,37.735,9.168,8.207,7.247,-108.321
2016-01-25,10.4,10.44,10.33,10.37,376431.72,0.3189,0.72,7.4932,0.9443,2.0213,14838097.1561,1.3397,20160125,85.994,894.3376,7.66271,891.75778,7.6406,897.77736,7.69218,888.31802,7.61113,894.3376,7.66271,-0.309,-0.276,-0.066,18.909,17.047,22.632,32.233,32.545,37.47,9.02,8.132,7.244,-93.899
2016-01-26,10.32,10.32,9.86,9.87,647901.14,0.5489,1.27,7.1319,0.8988,1.9239,14122663.3492,1.4076,20160126,85.994,887.45808,7.60376,848.76078,7.2722,887.45808,7.60376,847.90084,7.26484,891.75778,7.6406,-0.334,-0.288,-0.092,12.96,15.685,7.512,19.499,25.725,33.393,8.958,8.054,7.151,-180.932
2016-01-27,9.93,9.98,9.6,9.88,569037.05,0.4821,1.05,7.1392,0.8997,1.9258,14136972.0253,1.4062,20160127,85.994,853.92042,7.31641,849.62072,7.27957,858.22012,7.35325,825.5424,7.07327,848.76078,7.2722,-0.349,-0.3,-0.098,16.418,15.929,17.396,20.255,26.063,33.544,8.847,7.973,7.099,-191.972
2016-01-28,9.82,9.89,9.65,9.69,302540.78,0.2563,0.57,7.0019,0.8824,1.8888,13865107.1787,1.4338,20160128,85.994,844.46108,7.23536,833.28186,7.13958,850.48066,7.28694,829.8421,7.11011,849.62072,7.27957,-0.368,-0.314,-0.108,13.445,15.101,10.134,16.682,23.816,32.102,8.717,7.884,7.051,-172.754
2016-01-29,9.74,10.08,9.69,10.0,544435.76,0.4612,1.15,7.2259,0.9106,1.9492,14308676.139,1.3893,20160129,85.994,837.58156,7.17642,859.94,7.36799,866.81952,7.42693,833.28186,7.13958,833.28186,7.13958,-0.36,-0.323,-0.075,20.075,16.759,26.706,38.069,33.951,36.733,8.549,7.811,7.073,-104.773
