trade_date,open,high,low,close,vol,turnover_rate,volume_ratio,pe,pb,ps,total_mv,dv_ratio,trade_date,adj_factor,open_hfq,open_qfq,close_hfq,close_qfq,high_hfq,high_qfq,low_hfq,low_qfq,pre_close_hfq,pre_close_qfq,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,cci
2016-01-04,4.58,4.59,4.44,4.45,1475086.85,0.0547,1.37,5.7503,0.9638,2.4071,158600784.4046,5.7393,20160104,1.48,6.7784,3.03148,6.586,2.94544,6.7932,3.0381,6.5712,2.93882,6.7784,3.03148,-0.014,-0.003,-0.022,14.872,27.434,-10.253,16.705,32.221,42.293,3.124,3.058,2.992,-248.237
2016-01-05,4.42,4.51,4.38,4.47,1606292.84,0.0596,1.34,5.7762,0.9681,2.4179,159313596.9188,5.7136,20160105,1.48,6.5416,2.92558,6.6156,2.95868,6.6748,2.98515,6.4824,2.89911,6.586,2.94544,-0.019,-0.006,-0.026,19.005,24.625,7.767,23.803,35.015,43.323,3.129,3.051,2.974,-227.074
2016-01-06,4.45,4.52,4.45,4.51,1131772.63,0.042,0.92,5.8279,0.9768,2.4395,160739221.9471,5.663,20160106,1.48,6.586,2.94544,6.6748,2.98515,6.6896,2.99177,6.586,2.94544,6.6156,2.95868,-0.022,-0.009,-0.024,27.115,25.455,30.435,36.741,40.377,45.359,3.13,3.048,2.965,-133.627
2016-01-07,4.49,4.5,4.42,4.43,344915.08,0.0128,0.29,5.7245,0.9595,2.3963,157887971.8904,5.7652,20160107,1.48,6.6452,2.97191,6.5564,2.9322,6.66,2.97853,6.5416,2.92558,6.6748,2.98515,-0.027,-0.013,-0.029,24.029,24.979,22.128,26.104,34.217,42.196,3.135,3.04,2.945,-139.052
2016-01-08,4.44,4.49,4.4,4.46,1861344.74,0.069,1.68,5.7633,0.966,2.4125,158957190.6617,5.7265,20160108,1.48,6.5712,2.93882,6.6008,2.95206,6.6452,2.97191,6.512,2.91234,6.5564,2.9322,-0.03,-0.016,-0.027,25.543,25.167,26.295,34.622,38.082,43.731,3.137,3.035,2.933,-108.896
2016-01-11,4.43,4.43,4.31,4.32,1647020.51,0.0611,1.28,5.5824,0.9356,2.3368,153967503.0624,5.912,20160111,1.48,6.5564,2.9322,6.3936,2.85939,6.5564,2.9322,6.3788,2.85277,6.6008,2.95206,-0.039,-0.021,-0.036,18.104,22.813,8.686,21.04,29.314,38.722,3.154,3.026,2.899,-148.613
2016-01-12,4.36,4.38,4.31,4.32,1157543.35,0.0429,0.88,5.5824,0.9356,2.3368,153967503.0624,5.912,20160112,1.48,6.4528,2.88587,6.3936,2.85939,6.4824,2.89911,6.3788,2.85277,6.3936,2.85939,-0.045,-0.026,-0.039,13.145,19.59,0.254,21.04,29.314,38.722,3.16,3.015,2.871,-133.169
2016-01-13,4.35,4.35,4.29,4.3,1015443.85,0.0377,0.83,5.5565,0.9313,2.3259,153254690.5483,5.9395,20160113,1.48,6.438,2.87925,6.364,2.84615,6.438,2.87925,6.3492,2.83953,6.3936,2.85939,-0.051,-0.031,-0.041,9.805,16.328,-3.242,19.469,28.21,38.044,3.167,3.005,2.844,-129.558
2016-01-14,4.26,4.31,4.21,4.31,1310475.47,0.0486,1.09,5.5694,0.9335,2.3314,153611096.8054,5.9258,20160114,1.48,6.3048,2.81968,6.3788,2.85277,6.3788,2.85277,6.2308,2.78658,6.364,2.84615,-0.054,-0.035,-0.038,15.308,15.988,13.949,22.922,29.655,38.605,3.169,2.996,2.823,-132.545
2016-01-15,4.29,4.3,4.21,4.23,1011907.6,0.0375,0.72,5.4661,0.9161,2.2881,150759846.7486,6.0378,20160115,1.48,6.3492,2.83953,6.2604,2.79982,6.364,2.84615,6.2308,2.78658,6.3788,2.85277,-0.061,-0.041,-0.04,12.356,14.778,7.513,16.238,25.224,35.893,3.174,2.983,2.793,-131.688
